X,Y,OBJECTID,AGENCY,PROJECT_TITLE,ADDRESS,MAR_MATCHADDRESS,LABEL,YEAR,XCOORD,YCOORD,MAR_ID,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-77.0288522533334,38.9765894132485,15,EB0,WALTER REED DEVELOPMENT,6900 GEORGIA AVENUE NW,6900 GEORGIA AVENUE NW,,2011,397500.13,145406.93,292768,CapitalProjectsPt_239,{2B06F541-1882-4D85-A9C0-02662C6341F3},,,,
-77.0288522533334,38.9765894132485,16,DMPED,Walter Reed Redevelompent,6900 Georgia Avenue SW,,7,2014,397500.13,145406.93,292768,CapitalProjectsPt_392,{51031330-208F-4C68-85A5-F2BE09B8CF2A},,,,
-77.0288522533334,38.9765894132485,17,DMPED,Walter Reed Redevelopment,,,6,2018,397500.13,145406.93,,CapitalProjectsPt_556,{CEEABE32-CD4B-4CB8-A9B2-18460B8617D5},,,,
-77.0288522533334,38.9765894132485,18,DMPED,Walter Reed Redevelompent,6900 Georgia Avenue SW,6900 GEORGIA AVENUE NW,7,2015,397500.13,145406.93,292768,CapitalProjectsPt_165,{1B4B5825-FBFC-4FDF-A170-1C22B573C915},,,,
-77.0288522533334,38.9765894132485,19,Deputy Mayor for Planning and Economic Development,Walter Reed Army Medical Center,"6900 Georgia Avenue, NW","6900 Georgia Avenue, NW",4,2012,397500.13,145406.93,292768,CapitalProjectsPt_285,{7586224D-5CDE-4636-8C1B-BDAC5CED7418},,,,
-77.0288522533334,38.9765894132485,20,DPR,Walter Reed Pool,6900 GEORGIA AVENUE NW,6900 GEORGIA AVENUE NW,,2015,397500.13,145406.93,292768,CapitalProjectsPt_206,{7467B457-3A3B-4AA9-BC69-A22DE761ACB3},,,,
-77.0288522533334,38.9765894132485,21,EB0 - DMPED,Walter Reed Redevelompent,6900 GEORGIA AVENUE NW,6900 GEORGIA AVENUE NW,8,2013,397500.13,145406.93,292768,CapitalProjectsPt_341,{E359045C-6782-450E-8CEC-7D455B14C90A},,,,
-77.0288285560213,38.9765783209545,22,,Walter Reed Pool,6900 GEORGIA AVENUE NW,6900 GEORGIA AVENUE NW,9,2017,397500.13,145406.93,292768,CapitalProjectsPt_524,{99D93F9F-593A-48BB-B389-BD38ACFDCEF7},,,,
-77.0227972114971,38.9750503430188,23,,PHASE 1,7010 PINEY BRANCH ROAD NW,7010 PINEY BRANCH ROAD NW,,2010,398024.7605,145235.93,250934,CapitalProjectsPt_80,{C286247E-E458-4158-AAC3-040BA5B47E6B},,,,
-77.0270267753911,38.9723616551057,24,DPR,Walter Reed Pool,GEORGIA AVENUE NW AND ASPEN STREET NW,GEORGIA AVENUE NW AND ASPEN STREET NW,21,2021,397658.17001178,144937.56000393,900305,CapitalProjectsPt_754,{6D070799-7CA8-49D0-ACB5-42A9C8B9BADA},,,,
-77.0270267753911,38.9723616551057,25,DPR,Walter Reed Pool,GEORGIA AVENUE NW AND ASPEN STREET NW,GEORGIA AVENUE NW AND ASPEN STREET NW,25,2019,397658.17001178,144937.56000393,900305,CapitalProjectsPt_638,{30BCD299-2A09-4D1A-ABF2-5DF7037CB151},,,,
-77.0270267753911,38.9723616551057,26,DPR,Walter Reed Pool,GEORGIA AVENUE NW AND ASPEN STREET NW,GEORGIA AVENUE NW AND ASPEN STREET NW,23,2020,397658.17001178,144937.56000393,900305,CapitalProjectsPt_712,{156EDF9E-144A-42DB-A43E-F43D68E90836},,,,
-77.0270267753911,38.9723616551057,27,DPR,Walter Reed Pool,GEORGIA AVENUE NW AND ASPEN STREET NW,GEORGIA AVENUE NW AND ASPEN STREET NW,25,2018,397658.17001178,144937.56000393,900305,CapitalProjectsPt_584,{1764ECA1-181B-4009-8802-E343BA99EDF6},,,,
-77.0310931041362,38.9702769488661,28,HA0 - DPR,Fort Stevens Recreation Center,1327 VAN BUREN STREET NW,1327 VAN BUREN STREET NW,4,2013,397305.72,144706.25,290152,CapitalProjectsPt_345,{CF322AF5-F6E1-47B8-A18C-44979F9EAAB8},,,,
-77.0310931041362,38.9702769488661,29,DPR,Fort Stevens Recreation Center,"1327 Van Buren Street, NW",1327 VAN BUREN STREET NW,6,2014,397305.72,144706.25,290152,CapitalProjectsPt_357,{A59D98A9-934C-4919-B719-F4CD8768DC39},,,,
-77.0191028604981,38.9674293053853,30,DCPS,Coolidge HS,6315 5th St NW,6315 5TH STREET NW,4,2014,398303.3,144374.62,294615,CapitalProjectsPt_403,{914126DD-146E-4A6C-9E0A-DE538D36E230},,,,
-77.0195806454907,38.9672920397769,31,DCPS,Coolidge High School,6315 5TH STREET NW,6315 5TH STREET NW,6,2018,398303.3,144374.62,294615,CapitalProjectsPt_533,{17C93ED2-1E24-4B17-8A6B-CC28DD422267},,,,
-77.0195806454907,38.9672920397769,32,DCPS,Coolidge High School,6315 5TH STREET NW,6315 5TH STREET NW,8,2019,398303.3,144374.62,294615,CapitalProjectsPt_596,{5770C690-652A-444E-A4F7-EAC40A94F6CA},,,,
-77.0195805416315,38.9672920127695,33,DCPS,Coolidge High School,6315 5TH STREET NW,6315 5TH STREET NW,7,2017,398303.3,144374.62,294615,CapitalProjectsPt_499,{2EDC4803-81AE-4066-B85B-1234C89A7253},,,,
-77.0195805416315,38.9672920127695,34,DCPS,Coolidge High School,6315 5TH STREET NW,6315 5TH STREET NW,7,2016,398303.3,144374.62,294615,CapitalProjectsPt_432,{59D2FF2A-C1FA-40BB-8549-896ED179E576},,,,
-77.0195805416315,38.9672920127695,35,DCPS,Coolidge High School,6315 5TH STREET NW,6315 5TH STREET NW,7,2015,398303.3,144374.62,294615,CapitalProjectsPt_176,{74991E67-A525-4188-827E-545EA8BD4E4A},,,,
-77.0195493010138,38.9670659380494,36,,GENERAL MODERNIZATIONS - HIGH SCHOOLS,6315 5TH STREET NW,6315 5TH STREET NW,,2010,398306.0105,144349.52,294615,CapitalProjectsPt_76,{314AB9E2-8E8E-4AD2-B083-62D0EF830F11},,,,
-77.0680394309421,38.966635018804,37,DCPS,Lafayette Elementary School,5701 BROAD BRANCH ROAD NW,5701 BROAD BRANCH ROAD NW,17,2016,394103.71,144303.7,294611,CapitalProjectsPt_441,{83B4886F-C086-4FB4-939F-A1A839C7CABD},,,,
-77.0680394309421,38.966635018804,38,DCPS,Lafayette Elementary School,5701 BROAD BRANCH ROAD NW,5701 BROAD BRANCH ROAD NW,19,2020,394103.71,144303.7,294611,CapitalProjectsPt_725,{183DA393-417D-48E4-8954-3E0A2F529A2A},,,,
